"Kod";"Nazwa";"ogółem;2018;[zł]";
2264000;"Powiat m.Sopot";5700,74;
2400000;"ŚLĄSKIE";4825,28;
2401000;"Powiat będziński";4066,61;
2402000;"Powiat bielski";4210,20;
2403000;"Powiat cieszyński";4107,37;
2404000;"Powiat częstochowski";3922,86;
2405000;"Powiat gliwicki";4152,62;
2406000;"Powiat kłobucki";3463,10;
2407000;"Powiat lubliniecki";4296,91;
2408000;"Powiat mikołowski";4182,15;
2409000;"Powiat myszkowski";4029,82;
2410000;"Powiat pszczyński";4031,68;
2411000;"Powiat raciborski";4492,30;
2412000;"Powiat rybnicki";4073,76;
2413000;"Powiat tarnogórski";4364,71;
2414000;"Powiat bieruńsko-lędziński";4310,64;
2415000;"Powiat wodzisławski";3725,84;
2416000;"Powiat zawierciański";4368,35;
2417000;"Powiat żywiecki";4577,28;
2461000;"Powiat m.Bielsko-Biała";4731,61;
2462000;"Powiat m.Bytom";4322,58;
2463000;"Powiat m.Chorzów";4311,91;
2464000;"Powiat m.Częstochowa";4222,51;
2465000;"Powiat m.Dąbrowa Górnicza";5451,26;
2466000;"Powiat m.Gliwice";5451,31;
2467000;"Powiat m.Jastrzębie-Zdrój";8121,08;
2468000;"Powiat m.Jaworzno";5848,34;
2469000;"Powiat m.Katowice";5698,98;
2470000;"Powiat m.Mysłowice";4294,85;
2471000;"Powiat m.Piekary Śląskie";4868,16;
2472000;"Powiat m.Ruda Śląska";4081,18;
2473000;"Powiat m.Rybnik";4400,84;
2474000;"Powiat m.Siemianowice Śląskie";4380,81;
2475000;"Powiat m.Sosnowiec";4385,51;
2476000;"Powiat m.Świętochłowice";3915,87;
2477000;"Powiat m.Tychy";4630,83;
2478000;"Powiat m.Zabrze";4490,42;
2479000;"Powiat m.Żory";4263,76;
2600000;"ŚWIĘTOKRZYSKIE";4171,17;
2601000;"Powiat buski";3846,44;
2602000;"Powiat jędrzejowski";4440,95;
2603000;"Powiat kazimierski";3544,35;
2604000;"Powiat kielecki";3777,02;
2605000;"Powiat konecki";3943,80;
2606000;"Powiat opatowski";3692,26;
2607000;"Powiat ostrowiecki";3813,50;
2608000;"Powiat pińczowski";3925,26;
2609000;"Powiat sandomierski";4359,40;
2610000;"Powiat skarżyski";3965,25;
2611000;"Powiat starachowicki";4170,22;
2612000;"Powiat staszowski";4271,73;
2613000;"Powiat włoszczowski";4089,25;
2661000;"Powiat m.Kielce";4493,16;
2800000;"WARMIŃSKO-MAZURSKIE";4028,33;
2801000;"Powiat bartoszycki";3779,51;
2802000;"Powiat braniewski";3713,26;
2803000;"Powiat działdowski";3698,59;
2804000;"Powiat elbląski";3735,95;
2805000;"Powiat ełcki";3693,95;
2806000;"Powiat giżycki";3901,14;
2807000;"Powiat iławski";3648,02;
2808000;"Powiat kętrzyński";3714,64;
2809000;"Powiat lidzbarski";3695,19;
2810000;"Powiat mrągowski";3594,78;
2811000;"Powiat nidzicki";3596,12;
2812000;"Powiat nowomiejski";3439,34;
2813000;"Powiat olecki";3877,74;
2814000;"Powiat olsztyński";4049,63;
2815000;"Powiat ostródzki";3926,12;
2816000;"Powiat piski";3944,22;
2817000;"Powiat szczycieński";3874,73;
2818000;"Powiat gołdapski";3542,46;
2819000;"Powiat węgorzewski";3515,17;
2861000;"Powiat m.Elbląg";4287,12;
2862000;"Powiat m.Olsztyn";4648,58;
3000000;"WIELKOPOLSKIE";4382,96;
3001000;"Powiat chodzieski";4079,72;
3002000;"Powiat czarnkowsko-trzcianecki";4299,93;
3003000;"Powiat gnieźnieński";4015,45;
3004000;"Powiat gostyński";4011,63;
3005000;"Powiat grodziski";3687,82;
3006000;"Powiat jarociński";3612,51;
3007000;"Powiat kaliski";3606,01;
3008000;"Powiat kępiński";3183,34;
3009000;"Powiat kolski";4183,24;
3010000;"Powiat koniński";3608,15;
3011000;"Powiat kościański";4085,02;
3012000;"Powiat krotoszyński";3722,41;
