"Kod";"Nazwa";"ogółem;2016;[-]";
2600000;"ŚWIĘTOKRZYSKIE";1,4;
2601000;"Powiat buski";1,4;
2602000;"Powiat jędrzejowski";1,3;
2603000;"Powiat kazimierski";0,8;
2604000;"Powiat kielecki";1,1;
2605000;"Powiat konecki";1,6;
2606000;"Powiat opatowski";1,1;
2607000;"Powiat ostrowiecki";1,8;
2608000;"Powiat pińczowski";1,4;
2609000;"Powiat sandomierski";1,2;
2610000;"Powiat skarżyski";1,7;
2611000;"Powiat starachowicki";1,7;
2612000;"Powiat staszowski";1,2;
2613000;"Powiat włoszczowski";1,0;
2661000;"Powiat m.Kielce";1,8;
2800000;"WARMIŃSKO-MAZURSKIE";1,9;
2801000;"Powiat bartoszycki";1,9;
2802000;"Powiat braniewski";1,7;
2803000;"Powiat działdowski";1,7;
2804000;"Powiat elbląski";1,4;
2805000;"Powiat ełcki";2,3;
2806000;"Powiat giżycki";1,7;
2807000;"Powiat iławski";1,9;
2808000;"Powiat kętrzyński";1,8;
2809000;"Powiat lidzbarski";1,7;
2810000;"Powiat mrągowski";1,9;
2811000;"Powiat nidzicki";1,8;
2812000;"Powiat nowomiejski";1,8;
2813000;"Powiat olecki";1,7;
2814000;"Powiat olsztyński";1,6;
2815000;"Powiat ostródzki";1,7;
2816000;"Powiat piski";1,5;
2817000;"Powiat szczycieński";1,6;
2818000;"Powiat gołdapski";2,0;
2819000;"Powiat węgorzewski";1,9;
2861000;"Powiat m.Elbląg";2,2;
2862000;"Powiat m.Olsztyn";2,2;
3000000;"WIELKOPOLSKIE";1,7;
3001000;"Powiat chodzieski";2,1;
3002000;"Powiat czarnkowsko-trzcianecki";1,7;
3003000;"Powiat gnieźnieński";1,8;
3004000;"Powiat gostyński";1,4;
3005000;"Powiat grodziski";1,2;
3006000;"Powiat jarociński";1,6;
3007000;"Powiat kaliski";1,4;
3008000;"Powiat kępiński";1,6;
3009000;"Powiat kolski";1,1;
3010000;"Powiat koniński";1,1;
3011000;"Powiat kościański";1,4;
3012000;"Powiat krotoszyński";1,5;
3013000;"Powiat leszczyński";1,2;
3014000;"Powiat międzychodzki";1,5;
3015000;"Powiat nowotomyski";2,1;
3016000;"Powiat obornicki";2,2;
3017000;"Powiat ostrowski";1,5;
3018000;"Powiat ostrzeszowski";1,4;
3019000;"Powiat pilski";2,2;
3020000;"Powiat pleszewski";1,3;
3021000;"Powiat poznański";1,9;
3022000;"Powiat rawicki";1,3;
3023000;"Powiat słupecki";1,4;
3024000;"Powiat szamotulski";2,0;
3025000;"Powiat średzki";1,7;
3026000;"Powiat śremski";2,0;
3027000;"Powiat turecki";1,1;
3028000;"Powiat wągrowiecki";1,8;
3029000;"Powiat wolsztyński";1,4;
3030000;"Powiat wrzesiński";1,9;
3031000;"Powiat złotowski";1,9;
3061000;"Powiat m.Kalisz";2,3;
3062000;"Powiat m.Konin";2,1;
3063000;"Powiat m.Leszno";2,0;
3064000;"Powiat m.Poznań";2,1;
3200000;"ZACHODNIOPOMORSKIE";1,8;
3201000;"Powiat białogardzki";1,7;
3202000;"Powiat choszczeński";1,5;
3203000;"Powiat drawski";1,6;
3204000;"Powiat goleniowski";1,7;
3205000;"Powiat gryficki";1,9;
3206000;"Powiat gryfiński";1,8;
3207000;"Powiat kamieński";2,2;
3208000;"Powiat kołobrzeski";1,9;
3209000;"Powiat koszaliński";1,5;
3210000;"Powiat myśliborski";1,8;
3211000;"Powiat policki";2,0;
3212000;"Powiat pyrzycki";1,4;
3213000;"Powiat sławieński";1,9;
3214000;"Powiat stargardzki";1,5;
3215000;"Powiat szczecinecki";1,7;
3216000;"Powiat świdwiński";1,8;
3217000;"Powiat wałecki";1,5;
3218000;"Powiat łobeski";1,3;
3261000;"Powiat m.Koszalin";2,4;
3262000;"Powiat m.Szczecin";2,0;
3263000;"Powiat m.Świnoujście";1,9;
